Stock,SecurityName,Sector,Industry,MarketCapCr,MarketCapType
KRYSTAL,KRYSTAL INTEGRATED SER L ,Industrials,Specialty Business Services,858.37,Micro Cap
KSB,KSB LIMITED              ,Industrials,Specialty Industrial Machinery,12677.02,Small Cap
KSCL,KAVERI SEED CO. LTD.     ,Basic Materials,Agricultural Inputs,4566.76,Micro Cap
KSHINTL,KSH INTERNATIONAL LIMITED,Industrials,Electrical Equipment & Parts,2330.8,Micro Cap
KSHITIJPOL,KSHITIJ POLYLINE LIMITED ,Industrials,Business Equipment & Supplies,35.94,Micro Cap
KSL,KALYANI STEELS LIMITED   ,Basic Materials,Steel,3046.33,Micro Cap
KSOLVES,KSOLVES INDIA LIMITED    ,Technology,Software - Application,662.16,Micro Cap
KTKBANK,KARNATAKA BANK LIMITED   ,Financial Services,Banks - Regional,7158.57,Small Cap
KUANTUM,KUANTUM PAPERS LIMITED   ,Basic Materials,Paper & Paper Products,813.47,Micro Cap
LAGNAM,LAGNAM SPINTEX LIMITED   ,Consumer Cyclical,Textile Manufacturing,124.6,Micro Cap
LAL,LORENZINI APPARELS LTD   ,Consumer Cyclical,Apparel Manufacturing,133.7,Micro Cap
LALPATHLAB,DR. LAL PATH LABS LTD.   ,Healthcare,Diagnostics & Research,23628.04,Small Cap
LAMBODHARA,LAMBODHARA TEXTILES LTD. ,Consumer Cyclical,Textile Manufacturing,115.42,Micro Cap
LANDMARK,LANDMARK CARS LIMITED    ,Consumer Cyclical,Auto & Truck Dealerships,1865.92,Micro Cap
LAOPALA,LA OPALA RG LIMITED      ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2224.88,Micro Cap
LASA,LASA SUPERGENERICS LTD   ,Healthcare,Drug Manufacturers - Specialty & Generic,46.99,Micro Cap
LATENTVIEW,LATENT VIEW ANALYTICS LTD,Industrials,Consulting Services,8893.64,Small Cap
LAURUSLABS,LAURUS LABS LIMITED      ,Healthcare,Drug Manufacturers - Specialty & Generic,58871.36,Mid Cap
LAXMICOT,LAXMI COTSPIN LIMITED    ,Consumer Cyclical,Textile Manufacturing,26.68,Micro Cap
LAXMIDENTL,LAXMI DENTAL LIMITED     ,Healthcare,Medical Instruments & Supplies,1307.27,Micro Cap
LAXMIINDIA,LAXMI INDIA FINANCE LTD  ,Financial Services,Credit Services,566.85,Micro Cap
LEMERITE,LE MERITE EXPORTS LIMITED,Consumer Cyclical,Textile Manufacturing,1158.3,Micro Cap
LEMONTREE,LEMON TREE HOTELS LTD    ,Consumer Cyclical,Lodging,11841.71,Small Cap
LENSKART,LENSKART SOLUTIONS LTD   ,Healthcare,Medical Instruments & Supplies,79405.01,Mid Cap
LEXUS,LEXUS GRANITO (INDIA) LTD,Industrials,Building Products & Equipment,54.4,Micro Cap
LFIC,LAKSHMI FIN IND CORP LTD ,Financial Services,Asset Management,46.47,Micro Cap
LGBBROSLTD,LG BALAKRISHNAN & BROS   ,Consumer Cyclical,Auto Parts,5931.67,Small Cap
LGEINDIA,LG ELECTRONICS INDIA LTD ,Technology,Consumer Electronics,94464.75,Mid Cap
LGHL,LAXMI GOLDORNA HOUSE LTD ,Consumer Cyclical,Luxury Goods,1450.18,Micro Cap
LIBAS,LIBAS CONSU PRODUCTS LTD ,Consumer Cyclical,Apparel Manufacturing,27.69,Micro Cap
LIBERTSHOE,LIBERTY SHOES LTD        ,Consumer Cyclical,Footwear & Accessories,410.58,Micro Cap
LICHSGFIN,LIC HOUSING FINANCE LTD  ,Financial Services,Mortgage Finance,29442.12,Small Cap
LICI,LIFE INSURA CORP OF INDIA,Financial Services,Insurance - Life,522887.56,Large Cap
LIKHITHA,LIKHITHA INFRASTRUC LTD  ,Energy,Oil & Gas Equipment & Services,671.95,Micro Cap
LINC,LINC LIMITED             ,Industrials,Business Equipment & Supplies,669.25,Micro Cap
LINCOLN,LINCOLN PHARMA LTD       ,Healthcare,Drug Manufacturers - Specialty & Generic,965.93,Micro Cap
LINDEINDIA,LINDE INDIA LIMITED      ,Basic Materials,Specialty Chemicals,51852.81,Mid Cap
LLOYDSENGG,LLOYDS ENGG WORK LIMITED ,Industrials,Specialty Industrial Machinery,5930.26,Small Cap
LLOYDSENT,LLOYDS ENTERPRISES LTD   ,Basic Materials,Steel,7525.9,Small Cap
LLOYDSME,LLOYDS METALS N ENERGY L ,Basic Materials,Steel,65465.58,Mid Cap
LMW,LMW LIMITED              ,Industrials,Specialty Industrial Machinery,15206.18,Small Cap
LODHA,LODHA DEVELOPERS LIMITED ,Real Estate,Real Estate - Development,105742.83,Mid Cap
LOKESHMACH,LOKESH MACHINES LTD      ,Industrials,Specialty Industrial Machinery,369.16,Micro Cap
LORDSCHLO,LORDS CHLORO ALKALI LTD  ,Basic Materials,Chemicals,391.32,Micro Cap
LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,Industrials,Engineering & Construction,7375.82,Small Cap
LOTUSEYE,LOTUS EYE HOSP & INST L  ,Healthcare,Medical Care Facilities,224.87,Micro Cap
LOVABLE,LOVABLE LINGERIE LTD     ,Consumer Cyclical,Apparel Manufacturing,111.86,Micro Cap
LOYALTEX,LOYAL TEXTILE MILLS LTD  ,Consumer Cyclical,Textile Manufacturing,96.52,Micro Cap
LPDC,LANDMARK PR.DEV.CO.LTD   ,Real Estate,Real Estate Services,92.56,Micro Cap
LT,LARSEN & TOUBRO LTD.     ,Industrials,Engineering & Construction,531772.05,Large Cap
LTF,L&T FINANCE LIMITED      ,Financial Services,Credit Services,74027.73,Mid Cap
LTFOODS,LT FOODS LIMITED         ,Consumer Defensive,Packaged Foods,12879.61,Small Cap
LTIM,LTIMINDTREE LIMITED      ,Technology,Information Technology Services,178797.84,Mid Cap
LTTS,L&T TECHNOLOGY SER. LTD. ,Technology,Information Technology Services,44979.75,Small Cap
LUMAXIND,LUMAX INDUSTRIES LTD     ,Consumer Cyclical,Auto Parts,5193.13,Small Cap
LUMAXTECH,LUMAX AUTO TECH LTD      ,Consumer Cyclical,Auto Parts,10439.03,Small Cap
LUPIN,LUPIN LIMITED            ,Healthcare,Drug Manufacturers - Specialty & Generic,100308.45,Mid Cap
LUXIND,LUX INDUSTRIES LIMITED   ,Consumer Cyclical,Apparel Manufacturing,2848.99,Micro Cap
LXCHEM,LAXMI ORGANIC INDUS LTD  ,Basic Materials,Specialty Chemicals,4143.08,Micro Cap
LYKALABS,LYKA LABS LTD            ,Healthcare,Biotechnology,274.85,Micro Cap
LYPSAGEMS,LYPSA GEMS & JEWEL LTD   ,Consumer Cyclical,Luxury Goods,14.54,Micro Cap
M&M,MAHINDRA & MAHINDRA LTD  ,Consumer Cyclical,Auto Manufacturers,453825.85,Large Cap
M&MFIN,M&M FIN. SERVICES LTD    ,Financial Services,Credit Services,49337.03,Small Cap
MACPOWER,MACPOWER CNC MACHINES LTD,Industrials,Specialty Industrial Machinery,934.89,Micro Cap
MADHAV,MADHAV MARBLE & GRANITE  ,Industrials,Building Products & Equipment,35.53,Micro Cap
MADHUCON,MADHUCON PROJECTS LTD.   ,Industrials,Engineering & Construction,42.73,Micro Cap
MADRASFERT,MADRAS FERTILISERS LTD   ,Basic Materials,Agricultural Inputs,1286.23,Micro Cap
MAGADSUGAR,MAGADH SUGAR & ENERGY LTD,Consumer Defensive,Confectioners,635.6,Micro Cap
MAGNUM,MAGNUM VENTURES LTD.     ,Basic Materials,Paper & Paper Products,149.41,Micro Cap
MAHABANK,BANK OF MAHARASHTRA      ,Financial Services,Banks - Regional,50687.35,Mid Cap
MAHAPEXLTD,MAHA RASHTRA APEX COPR. L,Financial Services,Credit Services,138.03,Micro Cap
MAHEPC,MAHINDRA EPC IRRIG LTD   ,Industrials,Farm & Heavy Construction Machinery,363.56,Micro Cap
MAHESHWARI,MAHESHWARI LOGISTICS LTD.,Industrials,Integrated Freight & Logistics,130.38,Micro Cap
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,Real Estate,Real Estate - Development,8025.95,Small Cap
MAHLOG,MAHINDRA LOGISTIC LIMITED,Industrials,Integrated Freight & Logistics,3025.51,Micro Cap
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD ,Financial Services,Asset Management,16342.85,Small Cap
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD ,Basic Materials,Steel,7081.86,Small Cap
MAITHANALL,MAITHAN ALLOYS LTD       ,Basic Materials,Steel,3275.63,Micro Cap
MALLCOM,MALLCOM (INDIA) LIMITED  ,Industrials,Security & Protection Services,677.16,Micro Cap
MALUPAPER,MALU PAPER MILLS LIMITED ,Basic Materials,Paper & Paper Products,57.95,Micro Cap
MAMATA,MAMATA MACHINERY LIMITED ,Industrials,Specialty Industrial Machinery,997.11,Micro Cap
MANAKALUCO,MANAK ALUMINIUM CO. LTD. ,Basic Materials,Aluminum,353.69,Micro Cap
MANAKCOAT,MAN COAT METAL & IND LTD ,Industrials,Metal Fabrication,1414.79,Micro Cap
MANAKSIA,MANAKSIA LTD.            ,Industrials,Metal Fabrication,433.84,Micro Cap
MANAKSTEEL,MANAKSIA STEELS LTD      ,Basic Materials,Steel,415.81,Micro Cap
MANALIPETC,MANALI PETROCHEMICALS LT ,Basic Materials,Specialty Chemicals,1019.27,Micro Cap
MANAPPURAM,MANAPPURAM FINANCE LTD   ,Financial Services,Credit Services,26154.83,Small Cap
MANBA,MANBA FINANCE LIMITED    ,Financial Services,Credit Services,679.89,Micro Cap
MANCREDIT,MANGAL CREDIT N FINCORP L,Financial Services,Credit Services,344.26,Micro Cap
MANGLMCEM,MANGALAM CEMENT LTD      ,Basic Materials,Building Materials,2062.02,Micro Cap
MANINDS,MAN INDUSTRIES (I) LTD.  ,Basic Materials,Steel,2602.08,Micro Cap
MANINFRA,MAN INFRA LTD            ,Industrials,Engineering & Construction,4684.55,Micro Cap
MANKIND,MANKIND PHARMA LIMITED   ,Healthcare,Drug Manufacturers - Specialty & Generic,92649.97,Mid Cap
MANORAMA,MANORAMA INDUSTRIES LTD  ,Consumer Defensive,Packaged Foods,7796.14,Small Cap
MANORG,MANGALAM ORGANICS LIMITED,Basic Materials,Specialty Chemicals,402.1,Micro Cap
MANUGRAPH,MANUGRAPH INDIA LIMITED  ,Industrials,Specialty Industrial Machinery,46.99,Micro Cap
MANYAVAR,VEDANT FASHIONS LIMITED  ,Consumer Cyclical,Apparel Manufacturing,13124.19,Small Cap
MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,Technology,Software - Infrastructure,8352.71,Small Cap
MARALOVER,MARAL OVERSEAS LTD       ,Consumer Cyclical,Textile Manufacturing,177.86,Micro Cap
MARATHON,MARATHON NXTGEN REALT LTD,Real Estate,Real Estate - Development,3373.39,Micro Cap
MARICO,MARICO LIMITED           ,Consumer Defensive,Household & Personal Products,97330.61,Mid Cap
MARINE,MARINE ELECTRICAL (I) LTD,Industrials,Electrical Equipment & Parts,2679.29,Micro Cap
MARKOLINES,MARKOLINES PAVEMENT TEC L,Industrials,Infrastructure Operations,315.67,Micro Cap
MARKSANS,MARKSANS PHARMA LIMITED  ,Healthcare,Drug Manufacturers - General,7816.96,Small Cap
MARUTI,MARUTI SUZUKI INDIA LTD. ,Consumer Cyclical,Auto Manufacturers,507823.04,Large Cap
MASFIN,MAS FINANCIAL SERV LTD   ,Financial Services,Credit Services,5645.92,Small Cap
MASTEK,MASTEK LTD               ,Technology,Information Technology Services,6334.29,Small Cap
MASTERTR,MASTER TRUST LIMITED     ,Financial Services,Capital Markets,1306.31,Micro Cap
MATRIMONY,MATRIMONY.COM LIMITED    ,Communication Services,Internet Content & Information,1192.03,Micro Cap
MAWANASUG,MAWANA SUGARS LIMITED    ,Consumer Defensive,Confectioners,327.02,Micro Cap
MAXESTATES,MAX ESTATES LIMITED      ,Real Estate,Real Estate - Development,6888.12,Small Cap
MAXHEALTH,MAX HEALTHCARE INS LTD   ,Healthcare,Medical Care Facilities,100545.44,Mid Cap
MAXIND,MAX INDIA LIMITED        ,Healthcare,Medical Care Facilities,889.32,Micro Cap
MAYURUNIQ,MAYUR UNIQUOTERS LTD     ,Consumer Cyclical,Textile Manufacturing,2106.58,Micro Cap
MAZDA,MAZDA LIMITED            ,Industrials,Specialty Industrial Machinery,413.48,Micro Cap
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,Industrials,Aerospace & Defense,99667.13,Mid Cap
MBAPL,MADHYA BHARAT AGRO P. LTD,Basic Materials,Agricultural Inputs,3491.93,Micro Cap
MBEL,M AND B ENGINEERING LTD  ,Industrials,Engineering & Construction,1952.18,Micro Cap
MBLINFRA,MBL INFRASTRUCTURE LTD   ,Industrials,Engineering & Construction,421.9,Micro Cap
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD. ,Consumer Defensive,Packaged Foods,470.68,Micro Cap
MCLOUD,MAGELLANIC CLOUD LIMITED ,Technology,Information Technology Services,1375.08,Micro Cap
MCX,MULTI COMMODITY EXCHANGE ,Financial Services,Financial Data & Stock Exchanges,61631.53,Mid Cap
MEDANTA,GLOBAL HEALTH LIMITED    ,Healthcare,Medical Care Facilities,31249.57,Small Cap
MEDIASSIST,MEDI ASSIST HEALTH SER L ,Healthcare,Healthcare Plans,3249.34,Micro Cap
MEDICAMEQ,MEDICAMEN BIOTECH LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,523.05,Micro Cap
MEDICO,MEDICO REMEDIES LIMITED  ,Healthcare,Drug Manufacturers - Specialty & Generic,389.69,Micro Cap
MEDPLUS,MEDPLUS HEALTH SERV LTD  ,Healthcare,Pharmaceutical Retailers,9996.8,Small Cap
MEESHO,MEESHO LIMITED           ,Consumer Cyclical,Internet Retail,74146.23,Mid Cap
MEIL,MANGAL ELECTRICAL IND L  ,Industrials,Electrical Equipment & Parts,959.73,Micro Cap
MENONBE,MENON BEARINGS LIMITED   ,Consumer Cyclical,Auto Parts,711.2,Micro Cap
METROBRAND,METRO BRANDS LIMITED     ,Consumer Cyclical,Apparel Retail,30011.33,Small Cap
METROPOLIS,METROPOLIS HEALTHCARE LTD,Healthcare,Diagnostics & Research,9765.85,Small Cap
MFML,MAHALAXMI FABRIC MILLS LT,Consumer Cyclical,Textile Manufacturing,25.65,Micro Cap
MFSL,MAX FINANCIAL SERV LTD   ,Financial Services,Insurance - Life,56912.88,Mid Cap
MGEL,MANGALAM GLOBAL ENT LTD  ,Consumer Defensive,Farm Products,397.44,Micro Cap
MGL,MAHANAGAR GAS LTD.       ,Utilities,Utilities - Regulated Gas,10355.86,Small Cap
MHLXMIRU,MAHALAXMI RUBTECH LIMITED,Consumer Cyclical,Textile Manufacturing,209.69,Micro Cap
MHRIL,MAHINDRA HOLIDAYS LTD    ,Consumer Cyclical,Resorts & Casinos,6105.63,Small Cap
MICEL,MIC ELECTRONICS LTD      ,Technology,Electronic Components,931.27,Micro Cap
MIDHANI,MISHRA DHATU NIGAM LTD   ,Basic Materials,Steel,6569.08,Small Cap
MIDWESTLTD,MIDWEST LIMITED          ,Basic Materials,Building Materials,5380.73,Small Cap
MINDACORP,MINDA CORPORATION LTD    ,Consumer Cyclical,Auto Parts,13604.81,Small Cap
MINDTECK,MINDTECK (INDIA) LIMITED ,Technology,Information Technology Services,717.5,Micro Cap
MIRCELECTR,MIRC ELECTRONICS LTD     ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",917.61,Micro Cap
MIRZAINT,MIRZA INTERNATIONAL LIMIT,Consumer Cyclical,Footwear & Accessories,473.76,Micro Cap
MITCON,MITCON CON & ENG SER LTD ,Industrials,Engineering & Construction,106.11,Micro Cap
MITTAL,MITTAL LIFE STYLE LIMITED,Consumer Cyclical,Textile Manufacturing,22.63,Micro Cap
MKPL,M K PROTEINS LIMITED     ,Consumer Defensive,Packaged Foods,220.34,Micro Cap
MMFL,MM FORGINGS LTD          ,Industrials,Metal Fabrication,1996.2,Micro Cap
MMP,MMP INDUSTRIES LIMITED   ,Basic Materials,Aluminum,651.45,Micro Cap
MMTC,MMTC LIMITED             ,Industrials,Conglomerates,10737.0,Small Cap
MOBIKWIK,ONE MOBIKWIK SYSTEMS LTD ,Technology,Software - Infrastructure,1812.68,Micro Cap
MODINATUR,MODI NATURALS LIMITED    ,Consumer Defensive,Packaged Foods,465.52,Micro Cap
MODIRUBBER,MODI RUBBER LTD          ,Real Estate,Real Estate Services,310.9,Micro Cap
MODIS,MODIS NAVNIRMAN LTD      ,Real Estate,Real Estate - Development,615.85,Micro Cap
MODISONLTD,MODISON LIMITED          ,Industrials,Electrical Equipment & Parts,504.44,Micro Cap
MODTHREAD,MODERN THREADS INDIA LTD ,Consumer Cyclical,Textile Manufacturing,147.34,Micro Cap
MOHITIND,MOHIT INDUSTRIES LTD     ,Consumer Cyclical,Textile Manufacturing,38.23,Micro Cap
MOIL,MOIL LIMITED             ,Basic Materials,Other Industrial Metals & Mining,7103.67,Small Cap
MOKSH,MOKSH ORNAMENTS LIMITED  ,Consumer Cyclical,Luxury Goods,130.78,Micro Cap
MOL,MEGHMANI ORGANICS LIMITED,Basic Materials,Agricultural Inputs,1556.4,Micro Cap
MOLDTECH,MOLD-TEK TECHNOLOGIES LTD,Industrials,Engineering & Construction,393.39,Micro Cap
MOLDTKPAC,MOLD-TEK PACKAGING LTD   ,Consumer Cyclical,Packaging & Containers,1943.68,Micro Cap
MONARCH,MONARCH NETWORTH CAP LTD ,Financial Services,Capital Markets,2194.68,Micro Cap
MONEYBOXX,MONEYBOXX FINANCE LIMITED,Financial Services,Credit Services,415.28,Micro Cap
MONTECARLO,MONTE CARLO FASHIONS LTD.,Consumer Cyclical,Apparel Manufacturing,1264.86,Micro Cap
MOREPENLAB,MOREPEN LAB. LTD         ,Healthcare,Drug Manufacturers - Specialty & Generic,2087.16,Micro Cap
MOSCHIP,MOSCHIP TECHNOLOGIES LTD ,Technology,Semiconductor Equipment & Materials,3674.65,Micro Cap
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,Consumer Cyclical,Auto Parts,119845.7,Mid Cap
MOTILALOFS,MOTILAL OSWAL FIN LTD    ,Financial Services,Capital Markets,51760.34,Mid Cap
MOTISONS,MOTISONS JEWELLERS LTD   ,Consumer Cyclical,Luxury Goods,1270.94,Micro Cap
MOTOGENFIN,MOTOR & GENERAL FINANCE L,Real Estate,Real Estate Services,89.15,Micro Cap
MPHASIS,MPHASIS LIMITED          ,Technology,Information Technology Services,53142.78,Mid Cap
MPSLTD,MPS LIMITED              ,Communication Services,Publishing,3223.08,Micro Cap
MRF,MRF LTD                  ,Consumer Cyclical,Auto Parts,61778.61,Mid Cap
MRPL,MRPL                     ,Energy,Oil & Gas Refining & Marketing,27752.4,Small Cap
MSPL,MSP STEEL & POWER LTD.   ,Basic Materials,Steel,1964.52,Micro Cap
MSTCLTD,MSTC LIMITED             ,Industrials,Conglomerates,3409.47,Micro Cap
MSUMI,MOTHERSON SUMI WRNG IND L,Consumer Cyclical,Auto Parts,30552.07,Small Cap
MTARTECH,MTAR TECHNOLOGIES LIMITED,Industrials,Specialty Industrial Machinery,8113.15,Small Cap
MTNL,MAHANAGAR TELEPHONE NIGAM,Communication Services,Telecom Services,2122.47,Micro Cap
MUFIN,MUFIN GREEN FINANCE LTD  ,Financial Services,Credit Services,2032.18,Micro Cap
MUFTI,CREDO BRANDS MARKETING L ,Consumer Cyclical,Apparel Retail,613.89,Micro Cap
MUKANDLTD,MUKAND LTD.              ,Basic Materials,Steel,1874.83,Micro Cap
MUKKA,MUKKA PROTEINS LIMITED   ,Consumer Defensive,Packaged Foods,662.7,Micro Cap
MUKTAARTS,MUKTA ARTS LIMITED       ,Communication Services,Entertainment,149.45,Micro Cap
MUNJALAU,MUNJAL AUTO IND. LTD.    ,Consumer Cyclical,Auto Parts,741.7,Micro Cap
MUNJALSHOW,MUNJAL SHOWA LTD         ,Consumer Cyclical,Auto Parts,487.62,Micro Cap
MURUDCERA,MURUDESHWAR CERAMICS LTD ,Industrials,Building Products & Equipment,204.22,Micro Cap
MUTHOOTCAP,MUTHOOT CAP SERV LTD     ,Financial Services,Credit Services,452.14,Micro Cap
MUTHOOTFIN,MUTHOOT FINANCE LIMITED  ,Financial Services,Credit Services,158102.3,Mid Cap
MUTHOOTMF,MUTHOOT MICROFIN LIMITED ,Financial Services,Credit Services,3217.87,Micro Cap
MVGJL,MANOJ VAIBHAV GEM N JEW L,Consumer Cyclical,Luxury Goods,876.57,Micro Cap
MWL,MANGALAM WORLDWIDE LTD   ,Basic Materials,Steel,822.26,Micro Cap
NACLIND,NACL INDUSTRIES LIMITED  ,Basic Materials,Agricultural Inputs,4317.55,Micro Cap
NAGAFERT,NAGARJUN FERT AND CHE LTD,Basic Materials,Agricultural Inputs,284.68,Micro Cap
NAGREEKEXP,NAGREEKA EXPORTS LTD.    ,Consumer Cyclical,Textile Manufacturing,80.94,Micro Cap
NAHARCAP,NAHAR CAP & FIN.         ,Financial Services,Capital Markets,401.15,Micro Cap
NAHARINDUS,NAHAR INDS ENT LTD       ,Consumer Cyclical,Textile Manufacturing,438.84,Micro Cap
NAHARPOLY,NAHAR POLY FILMS LIMITED ,Consumer Cyclical,Packaging & Containers,558.59,Micro Cap
NAHARSPING,NAHAR SPINNING MILLS LTD.,Consumer Cyclical,Textile Manufacturing,660.25,Micro Cap
NAM-INDIA,NIPPON L I A M LTD       ,Financial Services,Asset Management,55042.97,Mid Cap
NARMADA,NARMADA AGROBASE LIMITED ,Basic Materials,Agricultural Inputs,103.68,Micro Cap
NATCAPSUQ,NATURAL CAPSULES LIMITED ,Healthcare,Drug Manufacturers - Specialty & Generic,186.7,Micro Cap
NATCOPHARM,NATCO PHARMA LTD.        ,Healthcare,Drug Manufacturers - Specialty & Generic,15975.7,Small Cap
NATHBIOGEN,NATH BIO-GENES (I) LTD   ,Basic Materials,Agricultural Inputs,281.85,Micro Cap
NATIONALUM,NATIONAL ALUMINIUM CO LTD,Basic Materials,Aluminum,68607.38,Mid Cap
NAUKRI,INFO EDGE (I) LTD        ,Communication Services,Internet Content & Information,84670.76,Mid Cap
NAVA,NAVA LIMITED             ,Industrials,Conglomerates,16108.43,Small Cap
NAVINFLUOR,NAVIN FLUORINE INT. LTD  ,Basic Materials,Chemicals,30897.43,Small Cap
NAVKARCORP,NAVKAR CORPORATION LTD.  ,Industrials,Integrated Freight & Logistics,1554.71,Micro Cap
NAVNETEDUL,NAVNEET EDUCATION LTD    ,Communication Services,Publishing,3177.06,Micro Cap
NAZARA,NAZARA TECHNOLOGIES LTD  ,Communication Services,Electronic Gaming & Multimedia,9959.95,Small Cap
NBCC,NBCC (INDIA) LIMITED     ,Industrials,Engineering & Construction,28398.6,Small Cap
NBIFIN,N.B.I. IND. FIN. CO. LTD ,Financial Services,Capital Markets,634.38,Micro Cap
NCC,NCC LIMITED              ,Industrials,Engineering & Construction,9415.82,Small Cap
NCLIND,NCL INDUSTRIES LIMITED   ,Basic Materials,Building Materials,927.95,Micro Cap
NDGL,NAGA DHUNSERI GROUP LTD  ,Financial Services,Capital Markets,277.52,Micro Cap
NDL,NANDAN DENIM LIMITED     ,Consumer Cyclical,Textile Manufacturing,428.12,Micro Cap
NDLVENTURE,NDL VENTURES LIMITED     ,Communication Services,Entertainment,303.04,Micro Cap
NDRAUTO,NDR AUTO COMPONENTS LTD  ,Consumer Cyclical,Auto Parts,1757.62,Micro Cap
NDTV,NDTV LTD                 ,Communication Services,Broadcasting,1037.87,Micro Cap
NECCLTD,NORTH EAST CARRY CORP LTD,Industrials,Trucking,171.6,Micro Cap
NELCAST,NELCAST LIMITED          ,Industrials,Metal Fabrication,844.69,Micro Cap
NELCO,NELCO LTD                ,Technology,Communication Equipment,1603.22,Micro Cap
NEOGEN,NEOGEN CHEMICALS LIMITED ,Basic Materials,Specialty Chemicals,3471.56,Micro Cap
NEPHROPLUS,NEPHROCARE HEALTH SERV L ,Healthcare,Medical Care Facilities,4950.81,Micro Cap
NESCO,NESCO LTD.               ,Industrials,Conglomerates,8197.31,Small Cap
NESTLEIND,NESTLE INDIA LIMITED     ,Consumer Defensive,Packaged Foods,252049.96,Large Cap
NETWEB,NETWEB TECH INDIA LTD    ,Technology,Computer Hardware,18058.99,Small Cap
NETWORK18,NETWORK18 MEDIA & INV LTD,Communication Services,Entertainment,6309.86,Small Cap
NEULANDLAB,NEULAND LAB LTD.         ,Healthcare,Drug Manufacturers - Specialty & Generic,18297.99,Small Cap
NEWGEN,NEWGEN SOFTWARE TECH LTD ,Technology,Software - Infrastructure,10960.6,Small Cap
NEXTMEDIA,NEXT MEDIAWORKS LIMITED  ,Communication Services,Broadcasting,38.66,Micro Cap
NFL,NATIONAL FERT. LTD       ,Basic Materials,Agricultural Inputs,4084.07,Micro Cap
NGIL,NAKODA GROUP OF IND. LTD ,Consumer Defensive,Packaged Foods,50.09,Micro Cap
NGLFINE,NGL FINE CHEM LIMITED    ,Healthcare,Drug Manufacturers - General,907.8,Micro Cap
NH,NARAYANA HRUDAYALAYA LTD.,Healthcare,Medical Care Facilities,39770.66,Small Cap
NHPC,NHPC LTD                 ,Utilities,Utilities - Renewable,81656.09,Mid Cap
NIACL,THE NEW INDIA ASSU CO LTD,Financial Services,Insurance - Diversified,24685.39,Small Cap
NIBE,NIBE LIMITED             ,Industrials,Conglomerates,1734.79,Micro Cap
NIBL,NRB INDUS. BEARINGS LTD. ,Industrials,Tools & Accessories,78.56,Micro Cap
NIITLTD,NIIT LIMITED             ,Consumer Defensive,Education & Training Services,1140.44,Micro Cap
NIITMTS,NIIT LEARNING SYSTEMS LTD,Consumer Defensive,Education & Training Services,5756.26,Small Cap
NILAINFRA,NILA INFRASTRUCTURES LTD ,Real Estate,Real Estate - Development,356.86,Micro Cap
NILASPACES,NILA SPACES LIMITED      ,Real Estate,Real Estate - Development,565.23,Micro Cap
NILKAMAL,NILKAMAL LIMITED         ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2093.93,Micro Cap
NINSYS,NINTEC SYSTEMS LIMITED   ,Technology,Information Technology Services,713.5,Micro Cap
NIPPOBATRY,INDO-NATIONAL LIMITED    ,Industrials,Electrical Equipment & Parts,299.18,Micro Cap
NIRAJ,NIRAJ CEMENT STRUC LTD   ,Industrials,Engineering & Construction,203.56,Micro Cap
NIRAJISPAT,NIRAJ ISPAT IND LTD      ,Consumer Cyclical,Apparel Manufacturing,12.18,Micro Cap
NITCO,NITCO LIMITED            ,Industrials,Building Products & Equipment,2043.72,Micro Cap
NITINSPIN,NITIN SPINNERS LIMITED   ,Consumer Cyclical,Textile Manufacturing,1837.55,Micro Cap
NITIRAJ,NITIRAJ ENGINEERS LTD    ,Technology,Scientific & Technical Instruments,195.64,Micro Cap
NIVABUPA,NIVA BUPA HEALTH INS CO L,Financial Services,Insurance - Life,14588.48,Small Cap
NKIND,NK INDUSTRIES LTD        ,Consumer Defensive,Household & Personal Products,39.61,Micro Cap
NLCINDIA,NLC INDIA LIMITED        ,Utilities,Utilities - Regulated Electric,36073.35,Small Cap
NMDC,NMDC LTD.                ,Basic Materials,Steel,73719.39,Mid Cap
NOCIL,NOCIL LIMITED            ,Basic Materials,Specialty Chemicals,2303.11,Micro Cap
NOIDATOLL,NOIDA TOLL BRIDGE CO LTD ,Industrials,Infrastructure Operations,70.57,Micro Cap
NORTHARC,NORTHERN ARC CAPITAL LTD ,Financial Services,Credit Services,4277.78,Micro Cap
NOVAAGRI,NOVA AGRITECH LIMITED    ,Basic Materials,Agricultural Inputs,334.09,Micro Cap
NPST,NETWORK PEOPLE SRV TECH L,Technology,Software - Application,2764.24,Micro Cap
NRAIL,N R AGARWAL INDS LTD     ,Basic Materials,Paper & Paper Products,755.99,Micro Cap
NRBBEARING,NRB BEARING LIMITED      ,Consumer Cyclical,Auto Parts,2469.59,Micro Cap
